Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Cupra Formentor 2.0 TSI 4Drive DSG,Warszawa,Benzyna,2023,184480,1,1984,DS,0
Land Rover Discovery V 2.0 SD4 HSE,Września,Diesel,2019,238000,60500,1999,Rover,Discovery
Jeep Grand Cherokee Gr 3.0 CRD Overland EU6,Gortatowo,Diesel,2015,119900,140500,2987,Jeep,0
Ford Mondeo 2.0 EcoBlue Titanium,Piła,Diesel,2019,78300,158920,1997,Ford,Mondeo
Audi TT S 2.0 TFSI Quattro tronic,Wieliczka,Benzyna,2011,73900,138000,1984,Audi,TT
Hyundai Bayon 1.0 T-GDI Smart,Warszawa,Benzyna,2022,90712,1,998,Smart,0
Mitsubishi Eclipse Cross 2.4 PHEV Instyle Plus,Warszawa,Hybryda,2022,194000,1,2360,Mitsubishi,0
Nissan Qashqai 1.3 DIG-T mHEV N-Connecta Xtronic,Warszawa,Benzyna,2023,159200,1,1332,Nissan,Qashqai
Nissan Qashqai 1.3 DIG-T mHEV Tekna Xtronic,Warszawa,Benzyna,2023,173750,1,1332,Nissan,Qashqai
Skoda Kodiaq 2.0 TDI 4x2 Style DSG,Warszawa,Diesel,2023,187000,1,1968,Skoda,Kodiaq
Lexus RX 200t / 300 Elite,Kolbuszowa,Benzyna,2017,174900,69000,1998,Lexus,0
Audi A6 40 TDI mHEV Sport S tronic,Łódź,Diesel,2018,169900,120410,1968,Audi,A6
Kia Sportage,Chorzów,Hybryda,2023,180405,1,1598,Kia,Sportage
Audi Q3 35 TFSI mHEV S Line S tronic,Łódź,Benzyna,2020,162900,65000,1498,Audi,Q3
Hyundai Kona 2.0 T-GDI N Performance DCT,Warszawa,Benzyna,2023,209622,1,1998,Hyundai,Kona
BMW Seria 3 318Ci,Poświętne,Benzyna,2001,9700,194000,1895,BMW,Seria 3
Mazda 6 2.0 Skypassion I-ELoop,Marki,Benzyna,2016,62000,301000,1998,Mazda,6
Ford Mondeo 2.0 TDCi Titanium,Kielce,Diesel,2016,61900,223000,1997,Ford,Mondeo
Audi A4 35 TFSI mHEV Advanced S tronic,Łódź,Benzyna,2019,134900,48590,1984,Audi,A4
Skoda Fabia 1.2 12V Active,Dąbrowa Górnicza,Benzyna,2011,15900,93700,1198,Skoda,Fabia
Peugeot 308 1.2 PureTech Allure S&S,Katowice,Benzyna,2015,45500,65000,1199,Peugeot,308
Infiniti FX FX30d S,Augustów,Diesel,2010,41000,282000,2993,Infiniti,0
Audi S5,Mińsk Mazowiecki,Benzyna,2013,62000,142000,2995,Audi,S5
Opel Insignia 2.0 CDTI Exclusive S&S,Mińsk Mazowiecki,Diesel,2017,74900,150000,1956,Opel,Insignia
Dacia Duster,Warszawa,Benzyna,2020,54390,122078,1332,Dacia,Duster
Toyota Auris,Czechowice-Dziedzice,Benzyna,2018,64900,80446,1598,Toyota,Auris
Mercedes-Benz GLK 220 CDI 4-Matic,Radom,Diesel,2009,56900,174521,2143,Mercedes-Benz,0
Dacia Sandero Stepway 1.0 TCe Expression,Opole,Benzyna+LPG,2023,81900,10,999,Dacia,Sandero
Mercedes-Benz W124 (1984-1993),Tarnowskie Góry,Diesel,1992,10900,297500,2497,Mercedes-Benz,0
Volkswagen T-Roc 1.5 TSI Style DSG,Łódź,Benzyna,2023,145100,10,1498,Volkswagen,T-Roc
Seat Altea XL,Elbląg,Diesel,2013,31900,199000,1368,Seat,Altea
Fiat Tipo 1.4 16v Mirror,Koluszki,Benzyna,2019,43400,185568,1600,Fiat,Tipo
Volkswagen Transporter,Kraków,Benzyna,1984,41900,24000,1598,Volkswagen,Transporter
Kia Sportage,Chorzów,Hybryda,2023,189335,1,,Kia,Sportage
Volkswagen Passat 2.0 TDI Business DSG,Warszawa,Diesel,2023,206080,1,1968,Volkswagen,Passat
Toyota Corolla,Kraków,Hybryda,2021,124900,27634,1798,Toyota,Corolla
Toyota Corolla,Kraków,Hybryda,2021,124900,43602,1798,Toyota,Corolla
Toyota RAV4,Kraków,Hybryda,2016,82900,255900,2494,Toyota,RAV4
Kia Sportage,Chorzów,Hybryda,2023,185088,1,1598,Kia,Sportage
Opel Insignia 2.0 CDTI,Gniezno,Diesel,2010,22999,250800,1956,Opel,Insignia
Ford Mustang Fastback 2.3 Eco Boost,Opole,Benzyna,2019,114000,49500,2261,Ford,Mustang
Volvo V90 D3 Geartronic Momentum,Płock,Diesel,2018,89900,139000,1969,Volvo,V90
Audi A4 2.7 TDI Multitronic,Przasnysz,Diesel,2008,37900,221410,2698,Audi,A4
Ford Focus 1.6 Platinium X,Bilcza,Benzyna,2006,11500,200000,1596,Ford,Focus
Opel Astra V 1.4 T Enjoy,Łódź,Benzyna,2019,64800,85465,1399,Opel,Astra
Volkswagen Touareg 2.5 R5 TDI Tiptr,Jastarnia,Diesel,2004,17900,285000,2460,Volkswagen,Touareg
Volkswagen Caddy,Sokołów,Diesel,2019,77900,118000,1968,Volkswagen,Caddy
Kia XCeed 1.5 T-GDI M DCT,Chorzów,Benzyna,2023,116885,1,1482,Kia,0
Nissan Qashqai,Włocławek,Benzyna,2016,65900,189213,1197,Nissan,Qashqai
Skoda Octavia 2.0 TDI 4x4 RS DSG,Kraków,Diesel,2021,143000,94053,1968,Skoda,Octavia
Kia Ceed 1.6 CRDi 128 ISG SW Vision,Konstantynów Łódzki,Diesel,2015,34899,232450,1582,Kia,Ceed
Kia Sportage,Konstantynów Łódzki,Diesel,2016,69699,279150,1995,Kia,Sportage
Toyota C-HR,Kraków,Hybryda,2016,93900,110175,1797,Toyota,C-HR
Toyota C-HR,Kraków,Hybryda,2019,123900,85473,1987,Toyota,C-HR
Mazda CX-3 1.5 D Skypassion i-ELoop AWD,Płock,Diesel,2015,59900,130000,1499,Mazda,CX-3
Ford Mondeo 2.0 TDCi Titanium,Konstantynów Łódzki,Diesel,2015,41899,344000,1997,Ford,Mondeo
Peugeot 308,Konstantynów Łódzki,Benzyna,2014,34899,164400,1598,Peugeot,308
Jaguar X-Type,Rakszawa,Diesel,2009,27000,183000,2198,Jaguar,X-Type
Audi A4 2.0 TDI Sport S tronic,Szamocin,Diesel,2015,76900,227000,1968,Audi,A4
Citroën Berlingo Multispace BlueHDi 120 S&S XTR,Parczew,Diesel,2016,37800,156000,1560,Citroën,Berlingo
Audi A6 3.0 TDI Quattro S tronic,Bielsko-Biała,Diesel,2014,79900,213800,2967,Audi,A6
Toyota Corolla,Kraków,Hybryda,2020,86900,104905,1798,Toyota,Corolla
Audi Q5 2.0 TFSI Quattro S tronic,Gdynia,Benzyna,2009,52500,219000,1984,Audi,Q5
Audi A8 4.2 TDI clean diesel L Quattro,Baranowo,Diesel,2015,199000,144000,4134,Audi,A8
Audi A6 40 TDI mHEV Sport S tronic,Bielsko-Biała,Diesel,2020,110000,42000,1968,Audi,A6
Nissan Note 1.4 Visia AC/CD,Rakowice Wielkie,Benzyna,2010,19950,82100,1386,Nissan,Note
Mitsubishi ASX 1.6 Intense Plus,Końskie,Benzyna,2014,59999,92000,1590,Mitsubishi,ASX
Audi A6 3.0 TDI Quattro S tronic,Bydgoszcz,Diesel,2012,59900,272000,2967,Audi,A6
Chevrolet Cruze,Konstantynów Łódzki,Benzyna,2010,26499,228900,1796,Chevrolet,Cruze
Opel Astra,Kraków,Benzyna,2019,67900,66978,1199,Opel,Astra
Tesla Y Long Range AWD,Warszawa,Elektryczny,2022,222567,6500,1197,Pozostałe,0
Nissan Qashqai,Chorzów,Benzyna,2017,79900,52800,4395,Nissan,Qashqai
Kia Ceed 1.0 T-GDI M,Katowice,Benzyna,2021,69900,59900,1461,Kia,Ceed
Dacia Duster 1.5 dCi Laureate,Tuszyn,Diesel,2011,32000,102700,1197,Dacia,Duster
Skoda RAPID 1.2 TSI Ambition,Łódź,Benzyna,2015,36000,95270,1798,Skoda,0
Toyota Corolla,Kraków,Hybryda,2020,88900,88838,4395,Toyota,Corolla
Volkswagen Golf VII 1.6 TDI BMT Highline,Rawa Mazowiecka,Diesel,2013,42000,202500,1998,Volkswagen,Golf
Opel Crossland 1.2 T Elegance,Warszawa,Benzyna,2023,95500,1,1798,Opel,0
Toyota Corolla,Kraków,Hybryda,2021,122900,33321,1968,Toyota,Corolla
Toyota Corolla,Chorzów,Hybryda,2023,143916,1,1332,Toyota,Corolla
Volkswagen Transporter,Sokołów,Diesel,2019,144900,137000,1987,Volkswagen,Transporter
Renault Captur 1.3 TCe mHEV R.S Line,Gdynia,Benzyna,2023,102425,1,1598,Renault,Captur
Toyota RAV4 2.0 Comfort 4x2 MS,Sosnowiec,Benzyna,2023,170900,5,998,Toyota,RAV4
Renault Megane,Dąbrowa Górnicza,Benzyna,2000,4040,168652,999,Renault,Megane
Toyota Aygo X 1.0 VVT-i Comfort CVT,Warszawa,Benzyna,2023,75900,1,,Toyota,Aygo
Ford Focus 1.0 EcoBoost Titanium,Warszawa,Benzyna,2022,126350,1,,Ford,Focus
