Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Kia Sportage,Golub-Dobrzyń,Diesel,2011,42000,233000,1742,Kia,Sportage
Alfa Romeo Giulietta 1750 TBi Veloce S TCT,Wrocław,Benzyna,2017,77000,99000,1199,Alfa Romeo,0
Citroën C3 1.2 VTi Selection,Bydgoszcz,Benzyna,2013,36000,57372,1984,Citroën,C3
Skoda Superb 2.0 TSI 4x4 L&K DSG,Zielona Góra,Benzyna,2020,175138,78400,3604,Skoda,Superb
Jeep Grand Cherokee Gr 3.6 V6 Overland,Łódź,Benzyna,2019,168000,58408,1582,Jeep,0
Hyundai I30 1.6 CRDi BlueDrive Premium,Legionowo,Diesel,2013,30999,181698,1582,Hyundai,0
Nissan Townstar,Rzeszotary,Elektryczny,2023,162420,5,1998,Nissan,0
Hyundai I30 1.6 CRDi BlueDrive Comfort,Legionowo,Diesel,2015,37900,200250,3982,Hyundai,0
MINI John Cooper Works ALL4 sport,Kraków,Benzyna,2023,204900,4000,1998,MINI,0
Mercedes-Benz Klasa C AMG 63 S,Wrocław,Benzyna,2016,249998,114000,1995,Mercedes-Benz,0
MINI Countryman Cooper S,Kraków,Benzyna,2021,159000,15000,2464,MINI,0
BMW Seria 5 525d xDrive,Warszawa,Diesel,2014,77000,264000,,BMW,Seria 5
Citroën Jumper,Wrocław,Diesel,2020,109799,123000,2179,Citroën,Jumper
Audi A4 Allroad 2.0 TFSI Quattro S tronic,Kraków,Benzyna,2018,155000,33000,1984,Audi,A4
Ford C-MAX 1.6 TDCi Titanium,Krośniewice,Diesel,2011,29900,153000,1560,Ford,C-MAX
Skoda Octavia 1.6 TDI SCR Ambition,Sokołów,Diesel,2018,57900,93000,1598,Skoda,Octavia
Dodge Challenger,Grybów,Benzyna,2016,155900,77600,6417,Dodge,0
BMW Seria 5 520d xDrive,Kraków,Diesel,2018,155000,80000,1995,BMW,Seria 5
BMW X5 4.4i,Zwoleń,Benzyna+LPG,2001,29700,270000,4398,BMW,X5
Peugeot Expert Pro L2H1 FlexCab Eco,Ostrów Wielkopolski,Diesel,2018,69900,79000,1997,Peugeot,Expert
Citroën Berlingo,Kutno,Diesel,2018,32999,226473,1560,Citroën,Berlingo
Fiat Panda 1.1 Active Eco,Sochaczew,Benzyna,2010,15900,35000,1108,Fiat,Panda
Volkswagen Caddy 1.4 Life Team (7-Si.),Szprotawa,Benzyna,2008,29000,263000,1390,Volkswagen,Caddy
Volkswagen Golf 1.4 TSI DSG Highline,Stargard Szczeciński,Benzyna,2009,25900,159000,1390,Volkswagen,Golf
Volvo XC 60 D4 Drive-E Kinetic,Gorzów Wielkopolski,Diesel,2014,79900,171200,1969,Volvo,0
Renault Megane 1.3 TCe FAP Techno,Chorzów,Benzyna,2023,111580,1,1332,Renault,Megane
Seat Ibiza 1.4 TDI Reference,Lenartowice,Diesel,2015,28400,149000,1422,Seat,Ibiza
Mercedes-Benz Klasa E 220 d 4-Matic Business Edition 9G-TRONIC,Jelenia Góra,Diesel,2018,154999,57570,1950,Mercedes-Benz,0
Opel Insignia 2.0 CDTI Edition S&S,Tarnobrzeg,Diesel,2014,43500,149315,1956,Opel,Insignia
Audi A4 Avant 2.0 TDI DPF S line Sportpaket (plus),Legnica,Diesel,2009,38800,239000,1968,Audi,A4
Toyota Hilux 3.0 D-4D SR5-X,Wołomin,Diesel,2009,69500,272000,2982,Toyota,Hilux
Infiniti FX FX30d AWD S Premium,Nowy Sącz,Diesel,2012,58999,262651,2993,Infiniti,0
BMW Seria 3 320d Touring,Warszawa,Diesel,2012,62900,195000,1995,BMW,Seria 3
Peugeot 308 CC HDi FAP 140 Premium,Wągrowiec,Diesel,2011,34900,158966,1997,Peugeot,308
Audi A3 2.0 TDI Sportback DPF quattro Ambiente,Bodzentyn,Diesel,2008,29500,258585,1968,Audi,A3
Ford Focus 1.6 EcoBoost Titanium,Ruda Śląska,Benzyna,2011,31000,280849,1596,Ford,Focus
BMW Seria 1,Wałcz,Benzyna,2009,24500,175000,1995,BMW,Seria 1
Mercedes-Benz GLA 250 7G-DCT AMG Line,Warszawa,Benzyna,2020,55600,32960,1991,Mercedes-Benz,0
Kia XCeed 1.5 T-GDI M,Wojnicz,Benzyna,2022,99900,16700,1482,Kia,0
Kia XCeed 1.5 T-GDI M,Wojnicz,Benzyna,2022,99900,20500,1482,Kia,0
Kia XCeed 1.5 T-GDI M,Wojnicz,Benzyna,2022,99900,21550,1482,Kia,0
DS Automobiles DS 9,Warszawa,Benzyna,2022,249000,5,1598,DS,0
Audi A2 1.4,Myszków,Benzyna,2002,11950,235000,1390,Audi,A2
Opel Mokka 1.4 T Cosmo,Zawiercie,Benzyna,2016,51900,186000,1364,Opel,Mokka
Mercedes-Benz Klasa E 280 CDI 4-Matic Avantgarde,Jastrzębie-Zdrój,Diesel,2008,34000,276000,2987,Mercedes-Benz,0
DS Automobiles DS 7 Crossback,Warszawa,Hybryda,2022,259000,5,1598,DS,0
Porsche Cayenne S,Marcewo,Benzyna,2016,199000,87000,3604,Porsche,Cayenne
Audi A4 Avant 3.0 TDI DPF quattro S line Sportpaket (plus),Legionowo,Diesel,2008,36900,225000,1998,Audi,A4
Hyundai ix35 2.0 2WD Comfort,Wrocław,Benzyna,2010,45100,172500,1995,Hyundai,ix35
BMW Seria 5 520d xDrive,Zambrów,Diesel,2016,109000,84000,1461,BMW,Seria 5
Renault Clio,Środa Śląska,Diesel,2012,26499,125000,1997,Renault,Clio
BMW Seria 4 428i Coupe M Sport,Kraków,Benzyna,2015,92000,134000,1956,BMW,Seria 4
Opel Insignia 2.0 CDTI Cosmo,Gliwice,Diesel,2010,27000,302544,1248,Opel,Insignia
Fiat Tipo 1.3 MultiJet Mirror,Koło,Diesel,2020,57900,36004,1397,Fiat,Tipo
MINI ONE,Kartuzy,Benzyna,2007,19800,160000,1498,MINI,0
Mercedes-Benz Klasa A 150 Classic,Ciechanów,Benzyna,2008,14500,137000,1984,Mercedes-Benz,0
Porsche Macan Standard,Końskie,Benzyna,2018,219000,102600,1995,Porsche,Macan
BMW Seria 3 316d,Białystok,Diesel,2011,31999,217000,1968,BMW,Seria 3
Audi A4 2.0 TDI Multitronic,Zbytków,Diesel,2012,47000,153000,1968,Audi,A4
Volkswagen Passat 2.0 TDI 4Mot DSG,Podegrodzie,Diesel,2012,46900,250069,1984,Volkswagen,Passat
Cupra Formentor 2.0 TSI 4Drive VZ DSG,Rembelszczyzna,Benzyna,2022,246000,17000,1997,DS,0
Peugeot 508,Barcin,Diesel,2011,26500,307000,1598,Peugeot,508
Mazda 3 1.6 Comfort,Zielona Góra,Benzyna,2013,38400,133120,1995,Mazda,3
BMW Seria 2 220d M Sport,Włocławek,Diesel,2020,147900,106316,1968,BMW,Seria 2
Audi Q3 2.0 TDI Quattro,Podegrodzie,Diesel,2013,61900,224000,1999,Audi,Q3
Kia Optima 2.0 L,Mielec,Benzyna,2012,51000,186686,1995,Kia,Optima
BMW Seria 3 318d Advantage,Warszawa,Diesel,2016,62500,123623,2034,BMW,Seria 3
Mercedes-Benz Klasa B 200 Autotronic SPORT EDITION,Kraków,Benzyna,2010,28700,218000,1332,Mercedes-Benz,0
Renault Austral,Rzeszów,Benzyna,2023,162990,339,2967,Renault,0
Volkswagen Amarok 3.0 V6 TDI 4Mot Highline,Zaniemyśl,Diesel,2020,239000,83000,1582,Volkswagen,Amarok
Hyundai I30,Łódź,Diesel,2020,59900,113316,,Hyundai,0
Skoda Fabia 1.0 TSI Ambition,Końskie,Benzyna,2022,71000,19459,999,Skoda,Fabia
Skoda Roomster 1.4 16V,Łask,Benzyna,2007,14900,250000,1390,Skoda,Roomster
BMW Seria 1 118i M Sport,Częstochowa,Benzyna,2023,171950,5,1499,BMW,Seria 1
Ford Mondeo 2.0 Titanium,Wiry,Benzyna,2008,18000,237850,1999,Ford,Mondeo
Audi A6 3.0 TFSI Quattro S tronic,Dobrzewino,Benzyna,2015,105000,181150,2995,Audi,A6
Ford S-Max 2.0 TDCi DPF Gold X,Stargard Szczeciński,Diesel,2011,27900,249000,1997,Ford,0
BMW X2 xDrive20d M Sport,Gdynia,Diesel,2018,134900,116126,1995,BMW,X2
BMW X3 xDrive20d mHEV M Sport sport,Opoczno,Diesel,2022,201700,17900,1995,BMW,X3
Fiat Siena 75 EL,Poznań,Benzyna,2001,4750,126000,1242,Fiat,0
Fiat Tipo 1.4 16v Pop,Kraków,Benzyna,2018,43500,84220,1368,Fiat,Tipo
Mercedes-Benz Klasa C 220 d 4-Matic Avantgarde,Gorzów Wielkopolski,Diesel,2023,249900,1,1993,Mercedes-Benz,0
Mercedes-Benz Klasa E 430 T 4 Matic Avantgarde,Rypin,Benzyna+LPG,2000,34900,255000,4266,Mercedes-Benz,0
Toyota Avensis,Błotnowola,Benzyna+LPG,2004,12500,315000,1794,Toyota,Avensis
Audi A5 45 TFSI Quattro Sport S tronic,Warszawa,Benzyna,2019,169900,87620,1984,Audi,A5
Skoda Superb 2.0 TSI L&K DSG,Wrocław,Benzyna,2023,213790,5,1984,Skoda,Superb
Volvo XC 60,Warszawa,Diesel,2021,219900,60797,1969,Volvo,0
Seat Leon 1.8 TSI Xcellence S&S,Łódź,Benzyna,2017,69500,84500,1798,Seat,Leon
Ford Mustang 5.0 V8 GT,Wrocław,Benzyna,2019,199998,7700,5038,Ford,Mustang
Nissan Navara 2.5 D Platinum Long EU5,Głosków,Diesel,2011,53750,166417,2488,Nissan,Navara
Toyota Corolla,Elbląg,Benzyna,2018,69900,7450,1797,Toyota,Corolla
Toyota RAV4,Mikołów,Hybryda,2019,167000,73400,2487,Toyota,RAV4
Volvo V60 D4 Momentum Pro,Łajski,Diesel,2020,125900,92281,1969,Volvo,V60
Mercedes-Benz Klasa C 180 T Kompr Classic,Dobiegniew,Benzyna,2004,4900,287956,1796,Mercedes-Benz,0
BMW X5 xDrive35i,Warszawa,Benzyna,2017,145000,142799,2979,BMW,X5
Citroën C3 Picasso,Warszawa,Benzyna+LPG,2009,17900,199050,1397,Citroën,C3
Renault Scenic,Jarocin,Diesel,2011,19900,218666,1461,Renault,Scenic
Volvo S60,Bulowice,Benzyna,2017,74900,153600,1969,Volvo,S60
BMW Seria 5 530e iPerformance xDrive Sport Line sport,Częstochowa,Hybryda,2019,159900,79000,1998,BMW,Seria 5
Volkswagen Tiguan 2.0 TDI SCR (BlueMotion Technology) Comfortline,Iława,Diesel,2018,83900,202000,1968,Volkswagen,Tiguan
Ford Mondeo Vignale 2.0 TDCi Bi-Turbo PowerShift,Warszawa,Diesel,2016,68000,197000,1997,Ford,Mondeo
Volkswagen Passat,Pasłęk,Diesel,1988,3999,333354,1570,Volkswagen,Passat
Audi A6 50 TDI quattro tiptronic sport,Wrocław,Diesel,2018,190999,41999,2967,Audi,A6
Ford Focus 1.0 EcoBoost ST-Line ASS,Wałbrzych,Benzyna,2017,45500,161800,999,Ford,Focus
Hyundai Tucson 1.6 GDI BlueDrive Classic 2WD,Tomaszów Mazowiecki,Benzyna,2016,75999,80772,1591,Hyundai,Tucson
Peugeot 3008 Hybrid4,Maków,Hybryda,2011,31900,194300,1997,Peugeot,3008
Peugeot 508 SW e-HDi FAP 115 EGS6 Business-Line,Ostrów Mazowiecka,Diesel,2014,39901,239000,1560,Peugeot,508
Ford Fiesta 1.25 Trend,Chełm Śląski,Benzyna,2012,24900,170000,1242,Ford,Fiesta
BMW Seria 6,Szczecin,Benzyna,1984,135000,300000,3430,BMW,Seria 6
Citroën DS5 2.0 HDi Pure Pearl,Kurzętnik,Diesel,2012,38900,194800,1997,DS,DS5
Toyota Verso 2.0 D-4D Business Edition 7os,Wrocław,Diesel,2013,28000,231078,1998,Toyota,Verso
Toyota Auris 1.33 VVT-i Active,Słomczyn,Benzyna,2017,42500,183410,1329,Toyota,Auris
Volkswagen Golf Plus 1.6 Highline,Poznań,Benzyna+LPG,2008,21240,203521,1595,Volkswagen,Golf
Mercedes-Benz Klasa E 350-d-sedan-9g-tronic,Szczecin,Diesel,2016,129900,187000,2987,Mercedes-Benz,0
Ford S-Max 2.0 TDCi Titanium PowerShift,Cieszyn,Diesel,2016,65800,292000,1997,Ford,0
Opel Astra III 1.8 Enjoy,Stargard Szczeciński,Benzyna,2009,19900,119000,1796,Opel,Astra
Citroën C5,Elbląg,Diesel,2014,42900,184644,1997,Citroën,C5
Ford Focus 2.3 EcoBoost S&S Allrad RS Blue & Black,Warszawa,Benzyna,2016,118000,90746,2261,Ford,Focus
Mercedes-Benz Klasa E 220 d 4-Matic 9G-TRONIC,Warszawa,Diesel,2020,199799,85000,1950,Mercedes-Benz,0
Ford S-Max 2.0 EcoBlue TITANIUM,Cieszyn,Diesel,2019,116850,81838,1998,Ford,0
Volkswagen Passat 2.0 TDI BMT Highline,Zawiercie,Diesel,2016,78700,184000,1968,Volkswagen,Passat
Kia Rio 1.4 crdi XL,Piotrków Trybunalski,Diesel,2015,25900,270749,1396,Kia,Rio
Volkswagen Caravelle 2.0 TDI L1 Comfortline DSG,Krokowa,Diesel,2014,88000,333000,1968,Volkswagen,Caravelle
Nissan Qashqai 1.6 DCi Acenta,Piła,Diesel,2014,51800,138000,1598,Nissan,Qashqai
Ford Mondeo 2.0 TDCi Titanium,Rokitnica,Diesel,2015,40000,337304,1997,Ford,Mondeo
Suzuki Grand Vitara 2.4 De Luxe,Budy-Grzybek,Benzyna,2011,45000,258000,2393,Suzuki,0
Mazda CX-5 2.2 D Skypassion,Leszno,Diesel,2014,62800,101400,2191,Mazda,CX-5
Jeep Cherokee,Gorlice,Benzyna,2019,99500,77600,1994,Jeep,Cherokee
Honda Jazz 1.4 i-VTEC Elegance,Leszno,Benzyna,2011,23800,229000,1339,Honda,Jazz
BMW Z4 M,Katowice,Benzyna,2019,209000,50000,2995,BMW,Z4
Volkswagen Polo 1.0 TSI Comfortline,Krostoszowice,Benzyna,2018,61000,29570,999,Volkswagen,Polo
Toyota Auris 1.6 Premium,Warszawa,Benzyna,2017,57500,120000,1598,Toyota,Auris
Volkswagen Arteon 1.5 TSI ACT Evo Essence,Szczecin,Benzyna,2018,99900,71000,1498,Volkswagen,Arteon
Mercedes-Benz GLC Coupe 220 d 4-Matic,Szczecin,Diesel,2020,239900,29103,1950,Mercedes-Benz,0
Mitsubishi Eclipse Cross 1.5 T-MIVEC ClearTec 2WD Diamant Edition Plus,Stargard Szczeciński,Benzyna,2018,79900,128000,1499,Mitsubishi,0
Honda CR-V 2.0 Elegance,Leszno,Benzyna,2011,44800,210650,1997,Honda,CR-V
Volvo S40,Białystok,Diesel,2009,19900,245000,1998,Volvo,S40
Renault Captur 1.3 TCe Intens,Kalwaria Zebrzydowska,Benzyna,2022,44900,6269,1332,Renault,Captur
Dacia Duster 1.0 TCe Essential,Piaseczno,Benzyna+LPG,2021,65000,39500,999,Dacia,Duster
Audi A6 2.4 Multitronic,Stargard Szczeciński,Benzyna,2004,18900,239000,2393,Audi,A6
Audi A4 2.0 TDI ultra,Leszno,Diesel,2015,63800,235400,1968,Audi,A4
Mercedes-Benz Klasa A,Zabrze,Benzyna,2006,17000,177238,1498,Mercedes-Benz,0
Volkswagen T-Roc 1.5 TSI GPF ACT Advance DSG,Mysłowice,Benzyna,2019,106800,57000,1498,Volkswagen,T-Roc
Alfa Romeo Stelvio 2.0 Turbo Executive Q4,Warszawa,Benzyna,2019,134999,107000,1995,Alfa Romeo,0
Volkswagen Jetta 2.0 TDI Highline,Świdnica,Diesel,2012,38900,149100,1968,Volkswagen,Jetta
Skoda Fabia 1.0 Ambition,Warszawa,Benzyna,2018,32900,191000,999,Skoda,Fabia
Volvo S60 T5 AWD R-Design,Ruda Śląska,Benzyna,2020,138990,172000,1969,Volvo,S60
Peugeot 2008 1.2 Pure Tech Style EU6,Leszno,Benzyna,2015,38400,177000,1199,Peugeot,2008
Toyota RAV4,Danków,Diesel,2010,48300,134000,2231,Toyota,RAV4
Seat Exeo ST 1.8T Style,Piaseczno,Benzyna+LPG,2009,29400,176000,1781,Seat,Exeo
Audi A6 45 TDI Quattro Sport Tiptronic,Łódź,Diesel,2018,209900,87000,2967,Audi,A6
Audi Q5 40 TDI mHEV Quattro Advanced S tronic,Łódź,Diesel,2021,199900,94961,1968,Audi,Q5
Volkswagen Golf VII 2.0 TDI BMT GTD DSG,Toruń,Diesel,2019,119900,52871,1968,Volkswagen,Golf
Ford Mondeo 2.0 Ghia,Rydzyna,Benzyna,2002,7800,171700,1999,Ford,Mondeo
Mitsubishi ASX 1.6 Blue Sky Edition,Wyry,Benzyna+LPG,2014,57900,120000,1590,Mitsubishi,ASX
Audi A7 3.0 TDI Quattro S tronic,Radomsko,Diesel,2015,82900,130000,2967,Audi,A7
Opel Insignia,Kraków,Diesel,2017,55000,148000,1956,Opel,Insignia
Volkswagen Arteon 2.0 TSI R-Line DSG,Łódź,Benzyna,2020,164900,98919,1984,Volkswagen,Arteon
Ford Focus 1.5 TDCi Trend,Sopot,Diesel,2017,41900,157000,1498,Ford,Focus
Volkswagen Tiguan 2.0 TSI 4Mot Elegance DSG,Ostrołęka,Benzyna,2018,99900,52000,1984,Volkswagen,Tiguan
Seat Ibiza 1.0 Style,Gorzów Wielkopolski,Benzyna,2015,30000,60000,999,Seat,Ibiza
Ford Focus 1.0 EcoBoost Trend ASS,Kalwaria Zebrzydowska,Benzyna,2019,68400,33000,999,Ford,Focus
Audi A3 1.2 TFSI Limited Edition,Rawicz,Benzyna,2011,26900,135400,1197,Audi,A3
BMW Seria 1 116d EfficientDynamics Urban Line,Legnica,Diesel,2014,39500,205606,1598,BMW,Seria 1
Volkswagen Golf 1.3 CL,Sulejówek,Benzyna,1989,5900,279735,1272,Volkswagen,Golf
Mazda CX-5,Warszawa,Benzyna,2023,205800,1,1998,Mazda,CX-5
Mazda CX-5,Warszawa,Benzyna,2023,181400,1,1989,Mazda,CX-5
Mazda CX-5,Warszawa,Benzyna,2023,181900,1,1998,Mazda,CX-5
Mercedes-Benz Klasa A 150 Elegance,Wałbrzych,Benzyna,2004,12700,135650,1498,Mercedes-Benz,0
Volkswagen Golf,Warszawa,Benzyna+LPG,2001,7000,280912,1390,Volkswagen,Golf
Toyota Auris 1.8 VVT-i Hybrid Automatik Life,Wołomin,Hybryda,2017,62000,221000,1798,Toyota,Auris
Skoda Fabia,Radom,Benzyna,2009,13900,197400,1198,Skoda,Fabia
Skoda Kamiq 1.0 TSI Style,Łódź,Benzyna,2020,84900,82957,999,Skoda,Kamiq
Peugeot 308 1.5 BlueHDi Active S&S,Sokołów,Diesel,2019,56900,84000,1749,Peugeot,308
Citroën C5 II 1.8i 16V Impress,Bydgoszcz,Benzyna+LPG,2007,9500,305578,1968,Citroën,C5
Audi A4 2.0 TDI Sport S tronic,Kraków,Diesel,2020,164000,44000,1598,Audi,A4
Hyundai Tucson 1.6 T-GDi HEV Executive 4WD,Lublin,Benzyna,2022,166900,1801,1560,Hyundai,Tucson
Citroën C4,Poznań,Diesel,2004,8650,232350,1798,Citroën,C4
Audi A4 2.0,Leszno,Benzyna,2004,12900,267000,2143,Audi,A4
Volkswagen Passat 1.8 TSI BMT Comfortline,Gdańsk,Benzyna,2015,54900,180650,4293,Volkswagen,Passat
Alfa Romeo Giulia 2.2 D Turbo Veloce TI Q4,Ostrów Wielkopolski,Diesel,2018,138900,41890,1591,Alfa Romeo,0
Lexus SC 430,Białystok,Benzyna,2001,60000,194500,1598,Lexus,0
Hyundai Tucson 1.6 GDi Comfort 2WD,Zgorzelec,Benzyna,2019,92400,87004,,Hyundai,Tucson
Opel Astra,Leszno,Benzyna,2010,31900,178095,,Opel,Astra
Audi A5 2.0 TDI Sportback DPF,Leszno,Diesel,2012,58800,264700,1968,Audi,A5
Volkswagen Caddy,Łódź,Diesel,2023,159777,5,2000,Volkswagen,Caddy
BMW Seria 3 330d M Sport Sport,Radom,Diesel,2016,150000,122000,2993,BMW,Seria 3
Audi A6 2.0 TDI,Liszyno,Diesel,2013,66000,225390,1968,Audi,A6
Ford Focus 1.5 EcoBoost Titanium ASS,Poznań,Benzyna,2014,49999,105000,1499,Ford,Focus
Mercedes-Benz GLA 180 Style,Warszawa,Benzyna,2021,159900,11120,1332,Mercedes-Benz,0
Volkswagen T-Roc,Warszawa,Benzyna,2023,130600,1,1500,Volkswagen,T-Roc
Skoda Fabia 2.0 Elegance,Janki,Benzyna,2001,14900,48721,1781,Skoda,Fabia
Mitsubishi Lancer Evolution GSR,Tychy,Benzyna,2008,125000,66450,1998,Mitsubishi,Lancer
Fiat Tipo,Zabrze,Benzyna+LPG,2016,48000,129765,1598,Fiat,Tipo
Skoda Superb 2.0 TDI SCR Ambition DSG,Gdańsk,Diesel,2021,109900,111938,1968,Skoda,Superb
BMW Seria 5 523i Touring Edition Sport,Poznań,Benzyna,2007,24580,244061,2497,BMW,Seria 5
Mercedes-Benz Klasa C 220 CDI BlueEff 4-Matic Avantgarde,Wrocław,Diesel,2015,82900,180300,2143,Mercedes-Benz,0
BMW Seria 5,Zabrze,Diesel,2013,64000,197419,1995,BMW,Seria 5
Renault Clio,Zabrze,Benzyna+LPG,2020,59000,64069,999,Renault,Clio
Audi A6,Zabrze,Diesel,2017,113000,143239,1968,Audi,A6
BMW X3 xDrive20d,Małogoszcz,Diesel,2015,94000,132000,1995,BMW,X3
BMW Seria 5 530i xDrive GPF Sport,Sochaczew-Wieś,Benzyna,2019,109700,87000,1998,BMW,Seria 5
Peugeot 208 1.6 BlueHDi Active,Kępno,Diesel,2018,37500,81000,1560,Peugeot,208
Mercedes-Benz Klasa E,Płock,Diesel,2017,129700,210000,1950,Mercedes-Benz,0
Opel Insignia,Poznań,Benzyna,2009,28000,150000,1796,Opel,Insignia
Nissan X-Trail,Łódź,Hybryda,2022,222900,12900,1497,Nissan,X-Trail
BMW X1,Kielce,Diesel,2018,74900,119771,1995,BMW,X1
Mercedes-Benz SLK,Lublin,Benzyna,2004,32000,116640,1795,Mercedes-Benz,0
Seat Leon,Zabrze,Benzyna,2019,67000,72539,1498,Seat,Leon
Mitsubishi ASX 1.6 Intense Plus Navi,Poznań,Benzyna,2018,76800,33000,1590,Mitsubishi,ASX
Audi Q7 45 TDI mHEV Quattro S Line Tiptr,Jastrzębia Góra,Diesel,2020,260000,92000,2967,Audi,Q7
BMW Seria 5 530d xDrive,Krotoszyn,Diesel,2013,69500,262000,2993,BMW,Seria 5
Dodge RAM 1500 5.7 4x4,Skarżysko-Kamienna,Benzyna,2021,255000,2640,5654,Dodge,0
Subaru Outback,Opoczno,Diesel,2016,65000,213000,1998,Subaru,Outback
Peugeot 2008 1.6 VTi Allure,Radlin,Benzyna,2014,44500,122000,1598,Peugeot,2008
Kia Niro 1.6 GDI Plug-in Hybrid XL,Poznań,Hybryda,2019,109000,84000,1580,Kia,Niro
Ford Focus 1.5 EcoBoost Titanium ASS,Łódź,Benzyna,2019,74900,138000,1499,Ford,Focus
Opel Astra III GTC 1.8 Sport,Wołów,Benzyna,2008,14900,160000,1796,Opel,Astra
Toyota RAV4,Szarów,Diesel,2007,25500,258000,2231,Toyota,RAV4
Audi A1 1.2 TFSI Admired Edition,Ostrów Wielkopolski,Benzyna,2014,39400,82000,5461,Audi,A1
Toyota Tundra 4.7 4x4 Double Cab SR5,Trzebinia,Benzyna,2012,88888,212000,1591,Toyota,0
Kia Sportage 1.6 GDI 2WD DREAM-TEAM EDITION,Gniezno,Benzyna,2018,82999,59000,1086,Kia,Sportage
Hyundai i10 1.1 Base,Warszawa,Benzyna+LPG,2010,10000,240000,1998,Hyundai,i10
Toyota Avensis 2.0 D-4D Luna,Leoncin,Diesel,2013,33700,295000,6209,Toyota,Avensis
Mercedes-Benz CL,Dzierżoniów,Benzyna,2008,79900,299000,1685,Mercedes-Benz,0
Hyundai i40,Potoczek,Diesel,2013,41900,165000,1995,Hyundai,i40
BMW Seria 3,Łódź,Diesel,2012,40500,238000,1596,BMW,Seria 3
Volvo C30 1.6,Kleszczewo,Benzyna,2009,23000,158500,1368,Volvo,C30
Fiat Grande Punto Gr 1.4 16V Sport,Murowana Goślina,Benzyna,2008,14300,173000,1968,Fiat,0
Skoda Octavia 2.0 TDI RS,Bilcza,Diesel,2006,21900,280000,1560,Skoda,Octavia
Peugeot 3008,Raszków,Diesel,2010,19900,185000,1199,Peugeot,3008
Peugeot 2008,Zabrze,Benzyna,2021,100000,14543,1998,Peugeot,2008
Mazda 3,Kraków,Benzyna,2020,79900,20000,1199,Mazda,3
Opel Crossland X 1.2 T Eco Design Line S&S,Kielce,Benzyna,2019,55900,48000,2995,Opel,0
Audi Q7 3.0 TFSI Quattro Tiptronic,Warszawa,Benzyna,2018,175000,61000,2993,Audi,Q7
BMW Seria 5 530d Touring Sport-Aut Modern Line,Legnica,Diesel,2011,58999,279000,5998,BMW,Seria 5
Jeep Grand Cherokee Gr 3.6 V6 Overland,Brodnica,Benzyna+LPG,2015,99900,112000,2400,Jeep,0
Bentley Continental GT Standard,Kielce,Benzyna,2008,250000,104000,1997,Bentley,0
Volvo XC 60 D4 AWD Kinetic,Warszawa,Diesel,2015,85000,145000,1242,Volvo,0
Peugeot Traveller 2.0 BlueHDi Standard Business Vip,Połczyn-Zdrój,Diesel,2019,145000,147000,1997,Peugeot,Traveller
Suzuki Swift 1.2 Club,Września,Benzyna,2011,24900,175000,,Suzuki,Swift
Peugeot 5008 2.0 BlueHDi Allure 7os,Warszawa,Diesel,2018,85900,119000,,Peugeot,5008
Peugeot 3008 1.5 BlueHDi Allure S&S EAT8,Świerczyniec,Diesel,2019,96000,58400,1499,Peugeot,3008
Volkswagen Sharan 2.0 TDI BlueMotion Technology Comfortline,Legnica,Diesel,2011,44800,239000,1968,Volkswagen,Sharan
Audi A4 2.0 TDI Limited Edition,Legnica,Diesel,2011,38800,243000,1968,Audi,A4
Ford Focus 1.6 Gold X,Kielce,Benzyna,2009,16400,169000,1596,Ford,Focus
Volvo V60 D3 Drive-E Summum,Grudziądz,Diesel,2016,67900,147717,1969,Volvo,V60
Volkswagen Golf,Poznań,Benzyna,2004,12500,274628,1390,Volkswagen,Golf
Volkswagen Passat CC,Nowy Sącz,Benzyna,2010,29800,263395,1798,Volkswagen,Passat
Skoda Citigo 1.0 Ambition,Płock,Benzyna+LPG,2017,23985,173000,999,Skoda,Citigo
Mercedes-Benz Klasa E 220 d 9G-TRONIC,Inowrocław,Diesel,2017,197000,113500,1950,Mercedes-Benz,0
MINI John Cooper Works ALL4 sport,Warszawa,Benzyna,2019,135000,70500,1998,MINI,0
Ford C-MAX 1.0 EcoBoost Trend ASS,Janki,Benzyna,2018,31900,105569,999,Ford,C-MAX
Volkswagen Golf,Poznań,Benzyna,2020,89000,53606,1498,Volkswagen,Golf
BMW Seria 2 216d Gran Coupe Sport Line,Mrągowo,Diesel,2022,85000,83000,1496,BMW,Seria 2
Opel Insignia,Kutno,Diesel,2011,23900,230000,1956,Opel,Insignia
Ford Tourneo Custom 2.0 EcoBlue L2 Shuttle Bus Titanium,Krzeszowice,Diesel,2018,169000,125000,1995,Ford,Tourneo
BMW X5 xDrive25d,Ostrów Wielkopolski,Diesel,2016,145200,155820,1995,BMW,X5
Opel Vivaro,Lisewo,Diesel,2005,17300,279292,1870,Opel,Vivaro
Renault Kangoo 1.6 8V Oasis,Katowice,Benzyna,2010,17900,231000,1598,Renault,Kangoo
Audi A1 30 TFSI S tronic,Łódź,Benzyna,2020,106900,11552,999,Audi,A1
Mercedes-Benz CLA 250 4-Matic AMG Line 7G-DCT,Dołuje,Benzyna,2021,186900,43000,1991,Mercedes-Benz,0
BMW 6GT 630i Sport Line,Bełchatów,Benzyna,2018,159800,76237,1998,BMW,0
