marka,model,pojemnosc.skokowa.silnika,rodzaj.paliwa,rodzaj.pierwszego.paliwa.alternatywnego,data.pierwszej.rejestracji,data.pierwszej.rejestracji.w.kraju,data.ostatniej.rejestracji.w.kraju,data.wprowadzenia.danych,rejestracja.wojewodztwo,rejestracja.gmina,rejestracja.powiat,moc.netto.silnika,masa.wlasna,poziom.emisji.co2,srednie.zuzycie.paliwa,rok_produkcji
MERCEDES-BENZ,GLA 200,1595,BENZYNA,"",2019-06-17,2019-06-17,2023-06-22,"",POMORSKIE,GDYNIA,GDYNIA,115,1385,142,,2019
AUDI,A8 4.2 TDI QUATTRO,4134,OLEJ NAPĘDOWY,"",2015-09-30,2019-06-17,2023-06-02,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,283,2170,,,2015
VOLKSWAGEN,GOLF,1498,BENZYNA,"",2019-06-17,2019-06-17,2023-07-05,"",POMORSKIE,GDAŃSK,GDAŃSK,96,1348,124,,2019
SKODA,OCTAVIA,1498,BENZYNA,"",2019-06-17,2019-06-17,2023-06-01,"",POMORSKIE,KARTUZY,KARTUSKI,110,1261,124,,2019
MERCEDES-BENZ,C 220 CDI,2148,OLEJ NAPĘDOWY,"",2002-03-22,2019-06-17,2023-06-20,"",POMORSKIE,KARTUZY,KARTUSKI,105,1545,,,2002
MERCEDES-BENZ,A 180 CDI,1991,OLEJ NAPĘDOWY,"",2008-10-17,2019-06-17,2023-06-01,"",POMORSKIE,SŁUPSK,SŁUPSK,80,1320,,,2008
LEXUS,NX300H,2494,BENZYNA,"",2019-06-17,2019-06-17,2023-07-06,"",POMORSKIE,GDAŃSK,GDAŃSK,114,1801,157,,2019
SKODA,FABIA,999,BENZYNA,"",2019-06-18,2019-06-18,2023-06-12,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,55,1093,120,,2019
FORD,S-MAX,1997,OLEJ NAPĘDOWY,"",2006-06-09,2019-06-18,2023-06-07,"",POMORSKIE,SŁUPSK,SŁUPSK,103,1736,,,2006
BMW,118I,1499,BENZYNA,"",2019-06-18,2019-06-18,2023-06-20,"",POMORSKIE,SOPOT,SOPOT,100,1320,131,,2019
FORD,S-MAX,1997,OLEJ NAPĘDOWY,"",2006-07-31,2019-06-18,2023-06-17,"",POMORSKIE,GDAŃSK,GDAŃSK,103,1743,,,2006
VOLKSWAGEN,CADDY,1968,OLEJ NAPĘDOWY,"",2019-06-19,2019-06-19,2023-06-27,"",POMORSKIE,GDAŃSK,GDAŃSK,90,1637,162,,2019
VOLKSWAGEN,POLO,1390,BENZYNA,"",2004-03-19,2019-06-19,2023-06-28,"",POMORSKIE,GDAŃSK,GDAŃSK,55,1093,,,2004
FIAT,TIPO,1368,BENZYNA,"",2019-06-19,2019-06-19,2023-06-13,"",POMORSKIE,KWIDZYN,KWIDZYŃSKI,70,1195,155,,2019
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",2002-04-29,2019-06-19,2023-06-14,"",POMORSKIE,GDYNIA,GDYNIA,96,1340,,,2002
CHEVROLET,CRUZE,1796,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2011-03-10,2019-06-19,2023-07-07,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,104,1411,,,2010
AUDI,A7,2967,OLEJ NAPĘDOWY,NIE DOTYCZY,2014-07-18,2019-06-19,2023-06-29,"",POMORSKIE,LĘBORK,LĘBORSKI,230,2028,,,2013
VOLKSWAGEN,GOLF,1595,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2008-09-16,2019-06-19,2023-06-22,"",POMORSKIE,GDAŃSK,GDAŃSK,75,1173,,,2008
DACIA,DUSTER,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-06-19,2019-06-19,2023-06-02,"",POMORSKIE,GDYNIA,GDYNIA,84,1277,182,8,2019
MITSUBISHI,ECLIPSE CROSS,1499,BENZYNA,"",2019-06-19,2019-06-19,2023-06-02,"",POMORSKIE,MALBORK,MALBORSKI,120,1520,159,7,2018
KIA,RIO,1368,BENZYNA,"",2019-06-19,2019-06-19,2023-06-15,"",POMORSKIE,GDAŃSK,GDAŃSK,,1088,136,,2019
FORD,FUSION,1388,BENZYNA,"",2009-09-28,2019-06-19,2023-06-20,"",POMORSKIE,STAROGARD GDAŃSKI,STAROGARDZKI,59,1156,,,2009
FIAT,TIPO,1368,BENZYNA,"",2019-06-19,2019-06-19,2023-07-07,"",POMORSKIE,GDAŃSK,GDAŃSK,70,1195,155,,2019
VOLKSWAGEN,PASSAT,1595,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2005-09-01,2019-06-21,2023-06-14,"",POMORSKIE,KWIDZYN,KWIDZYŃSKI,75,1418,,,2005
OPEL,INSIGNIA SPORTS TOURER SW,1956,OLEJ NAPĘDOWY,"",2012-08-29,2019-06-21,2023-06-01,"",POMORSKIE,KARTUZY,KARTUSKI,96,1733,,,2012
VOLKSWAGEN,ARTEON,1498,BENZYNA,"",2019-06-24,2019-06-24,2023-06-21,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1553,147,,2019
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2007-02-02,2019-06-24,2023-06-06,"",POMORSKIE,NOWY DWÓR GDAŃSKI,NOWODWORSKI,125,1609,,,2006
MAZDA,3,1998,BENZYNA,"",2019-06-24,2019-06-24,2023-06-29,"",POMORSKIE,GDAŃSK,GDAŃSK,90,1300,125,,2019
BMW,X4 XDRIVE20D,1995,OLEJ NAPĘDOWY,"",2019-06-24,2019-06-24,2023-06-21,"",POMORSKIE,GDAŃSK,GDAŃSK,140,1740,140,,2019
VOLKSWAGEN,SHARAN,1984,BENZYNA,"",2008-10-31,2019-06-24,2023-07-05,"",POMORSKIE,GDYNIA,GDYNIA,85,1653,,,2008
AUDI,A4 AVANT,1968,OLEJ NAPĘDOWY,"",2007-07-20,2019-06-25,2023-06-21,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,125,1510,,,2007
MINI,COOPER,1499,BENZYNA,"",2019-06-25,2019-06-25,2023-06-13,"",POMORSKIE,SOPOT,SOPOT,100,1160,116,,2019
VOLVO,XC90,1969,OLEJ NAPĘDOWY,ENERGIA ELEKTRYCZNA,2019-06-26,2019-06-26,2023-06-14,"",POMORSKIE,GDAŃSK,GDAŃSK,173,2199,167,,2019
NISSAN,QASHQAI,1332,BENZYNA,"",2019-06-26,2019-06-26,2023-06-07,"",POMORSKIE,GDAŃSK,GDAŃSK,103,1300,155,,2019
VOLKSWAGEN,POLO,999,BENZYNA,"",2019-06-26,2019-06-26,2023-07-06,"",POMORSKIE,GDAŃSK,GDAŃSK,70,1129,112,,2019
BMW,X5 XDRIVE40I,2998,BENZYNA,"",2019-06-26,2019-06-26,2023-07-06,"",POMORSKIE,LĘBORK,LĘBORSKI,250,2060,197,,2019
VOLKSWAGEN,TOURAN,1968,OLEJ NAPĘDOWY,"",2019-06-26,2019-06-26,2023-07-04,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1669,147,,2019
RENAULT,CLIO,898,BENZYNA,"",2019-06-26,2019-06-26,2023-07-03,"",POMORSKIE,GDAŃSK,GDAŃSK,66,1130,130,,2019
KIA,PROCEED,1591,BENZYNA,"",2019-06-26,2019-06-26,2023-06-30,"",POMORSKIE,GDAŃSK,GDAŃSK,150,1363,155,,2019
FORD,FOCUS,1496,BENZYNA,"",2019-06-27,2019-06-27,2023-06-29,"",POMORSKIE,GDAŃSK,GDAŃSK,,1370,151,,2019
RENAULT,KOLEOS,1995,OLEJ NAPĘDOWY,"",2019-06-27,2019-06-27,2023-06-23,"",POMORSKIE,GDAŃSK,GDAŃSK,130,1784,168,,2019
KIA,RIO,1368,BENZYNA,NIE DOTYCZY,2019-06-27,2019-06-27,2023-06-02,"",POMORSKIE,GDYNIA,GDYNIA,,1067,127,,2019
FORD,MONDEO,1498,BENZYNA,"",2018-07-10,2019-06-27,2023-06-16,"",POMORSKIE,GDYNIA,GDYNIA,121,1607,,,2018
MITSUBISHI,PAJERO,2477,OLEJ NAPĘDOWY,"",1997-05-14,2019-06-27,2023-06-15,"",POMORSKIE,GDAŃSK,GDAŃSK,73,2190,,,1997
VOLKSWAGEN,TOUAREG,3189,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2003-03-17,2019-06-27,2023-06-27,"",POMORSKIE,SŁUPSK,SŁUPSK,162,2264,,,2003
TOYOTA,COROLLA,1798,BENZYNA,ENERGIA ELEKTRYCZNA,2019-06-27,2019-06-27,2023-07-04,"",POMORSKIE,GDAŃSK,GDAŃSK,72,1375,97,,2019
VOLKSWAGEN,GOLF,1390,BENZYNA,"",2002-05-17,2019-06-27,2023-07-04,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,55,1204,,,2002
SKODA,SCALA,1498,BENZYNA,"",2019-06-28,2019-06-28,2023-06-26,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1190,118,,2019
JEEP,GRAND CHEROKEE,2987,OLEJ NAPĘDOWY,"",2019-06-28,2019-06-28,2023-06-29,"",POMORSKIE,GDYNIA,GDYNIA,184,2373,246,,2019
VOLKSWAGEN,T-ROC,1498,BENZYNA,"",2019-06-28,2019-06-28,2023-06-12,"",POMORSKIE,GDYNIA,GDYNIA,110,1449,183,8,2019
RENAULT,MEGANE,1390,BENZYNA,"",2000-05-31,2019-06-28,2023-06-22,"",POMORSKIE,GDYNIA,GDYNIA,70,1190,,,2000
MERCEDES-BENZ,C 220 CDI,2148,OLEJ NAPĘDOWY,"",2007-12-11,2019-06-28,2023-06-07,"",POMORSKIE,NOWY DWÓR GDAŃSKI,NOWODWORSKI,125,1605,,,2007
CITROEN,C4 SPACETOURER,1997,OLEJ NAPĘDOWY,"",2019-06-28,2019-06-28,2023-06-26,"",POMORSKIE,GDAŃSK,GDAŃSK,120,1540,157,6,2018
TOYOTA,RAV4,2487,BENZYNA,"",2019-06-28,2019-06-28,2023-06-21,"",POMORSKIE,GDAŃSK,GDAŃSK,131,1692,101,,2019
TOYOTA,COROLLA,1197,BENZYNA,"",2019-07-01,2019-07-01,2023-06-22,"",POMORSKIE,GDAŃSK,GDAŃSK,85,1353,143,,2019
BMW,X5 XDRIVE30D,2993,OLEJ NAPĘDOWY,"",2019-07-01,2019-07-01,2023-06-20,"",POMORSKIE,KARTUZY,KARTUSKI,195,2110,155,,2019
AUDI,A4,1968,OLEJ NAPĘDOWY,"",2008-11-06,2019-07-01,2023-06-13,"",POMORSKIE,GDAŃSK,GDAŃSK,105,1630,,,2008
BMW,545I,4398,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2005-01-01,2019-07-01,2023-06-02,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,245,1640,,,2005
SUBARU,FORESTER,1998,OLEJ NAPĘDOWY,"",2010-09-27,2019-07-02,2023-06-26,"",POMORSKIE,GDYNIA,GDYNIA,108,1615,,,2010
KIA,CEED,1582,OLEJ NAPĘDOWY,"",2010-08-25,2019-07-02,2023-06-26,"",POMORSKIE,KARTUZY,KARTUSKI,85,1502,,,2010
AUDI,A4,1968,OLEJ NAPĘDOWY,"",2007-12-13,2019-07-03,2023-06-13,"",POMORSKIE,TCZEW,TCZEWSKI,103,1565,,,2007
VOLKSWAGEN,POLO,999,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-07-03,2019-07-03,2023-06-06,"",POMORSKIE,GDAŃSK,GDAŃSK,59,1072,123,,2019
FORD,KUGA,1997,OLEJ NAPĘDOWY,"",2019-07-04,2019-07-04,2023-06-23,"",POMORSKIE,CZŁUCHÓW,CZŁUCHOWSKI,110,1715,159,,2019
BMW,X4 XDRIVE30I,1998,BENZYNA,"",2019-07-04,2019-07-04,2023-06-26,"",POMORSKIE,GDYNIA,GDYNIA,185,1720,163,,2019
SUZUKI,SWIFT,1242,BENZYNA,"",2019-07-04,2019-07-04,2023-07-05,"",POMORSKIE,GDYNIA,GDYNIA,66,952,115,5,2019
SKODA,OCTAVIA,1598,OLEJ NAPĘDOWY,"",2019-07-05,2019-07-05,2023-07-05,"",POMORSKIE,GDAŃSK,GDAŃSK,85,1346,113,,2019
FORD,FOCUS,1560,OLEJ NAPĘDOWY,"",2011-02-09,2019-07-05,2023-06-27,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,80,1391,,,2010
SKODA,KAROQ,1968,OLEJ NAPĘDOWY,"",2019-07-05,2019-07-05,2023-06-21,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,110,1558,134,,2019
TOYOTA,COROLLA,1798,BENZYNA,ENERGIA ELEKTRYCZNA,2019-07-08,2019-07-08,2023-06-12,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,72,1375,97,,2019
SKODA,SUPERB,1968,OLEJ NAPĘDOWY,"",2019-07-08,2019-07-08,2023-07-07,"",POMORSKIE,PUCK,PUCKI,140,1686,136,,2019
SKODA,FABIA,999,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-07-08,2019-07-08,2023-06-12,"",POMORSKIE,KARTUZY,KARTUSKI,55,1076,120,,2019
FORD,KUGA,1997,OLEJ NAPĘDOWY,"",2018-03-06,2019-07-08,2023-06-29,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,132,1716,,,2018
SKODA,SUPERB,1498,BENZYNA,"",2019-07-08,2019-07-08,2023-06-30,"",POMORSKIE,MALBORK,MALBORSKI,110,1439,137,6,2019
MAZDA,MX-5,1840,BENZYNA,"",2000-04-29,2019-07-08,2023-06-19,"",POMORSKIE,SOPOT,SOPOT,103,1100,,,2000
MINI,MINI,1598,BENZYNA,"",2007-10-15,2019-07-09,2023-07-03,"",POMORSKIE,CHOJNICE,CHOJNICKI,88,1140,,,2007
FORD,FOCUS,998,BENZYNA,"",2012-03-28,2019-07-09,2023-06-26,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,92,1316,,,2012
AUDI,A3,1984,BENZYNA,"",2003-06-26,2019-07-09,2023-07-06,"",POMORSKIE,MALBORK,MALBORSKI,110,1350,,,2003
SKODA,KAROQ,1498,BENZYNA,"",2019-07-09,2019-07-09,2023-06-29,"",POMORSKIE,SŁUPSK,SŁUPSK,110,1383,159,7,2019
SKODA,RAPID,999,BENZYNA,"",2019-07-09,2019-07-09,2023-06-13,"",POMORSKIE,MALBORK,MALBORSKI,81,1172,104,5,2019
VOLKSWAGEN,TIGUAN,1968,OLEJ NAPĘDOWY,"",2019-07-11,2019-07-11,2023-07-05,"",POMORSKIE,KWIDZYN,KWIDZYŃSKI,110,1586,141,,2019
NISSAN,QASHQAI,1332,BENZYNA,"",2019-07-11,2019-07-11,2023-06-29,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,103,1300,,,2019
TOYOTA,COROLLA,1798,BENZYNA,ENERGIA ELEKTRYCZNA,2019-07-11,2019-07-11,2023-07-03,"",POMORSKIE,LĘBORK,LĘBORSKI,72,1378,103,,2019
VOLKSWAGEN,TIGUAN,1968,OLEJ NAPĘDOWY,"",2019-07-11,2019-07-11,2023-06-14,"",POMORSKIE,GDYNIA,GDYNIA,140,1832,183,7,2019
MAZDA,CX-5,2488,BENZYNA,"",2018-01-01,2019-07-12,2023-07-07,"",POMORSKIE,PUCK,PUCKI,143,1515,,,2018
RENAULT,CAPTUR,898,BENZYNA,"",2014-05-14,2019-07-15,2023-06-09,"",POMORSKIE,KOŚCIERZYNA,KOŚCIERSKI,66,1101,,,2014
SEAT,ALTEA,1968,OLEJ NAPĘDOWY,"",2007-07-30,2019-07-16,2023-07-03,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,103,1544,,,2007
VOLKSWAGEN,GOLF,1968,OLEJ NAPĘDOWY,"",2009-07-17,2019-07-16,2023-06-12,"",POMORSKIE,GDAŃSK,GDAŃSK,103,1397,,,2009
AUDI,Q5,1968,OLEJ NAPĘDOWY,"",2019-07-17,2019-07-17,2023-07-06,"",POMORSKIE,NOWY DWÓR GDAŃSKI,NOWODWORSKI,120,1813,144,,2019
NISSAN,X-TRAIL,1598,OLEJ NAPĘDOWY,"",2016-03-18,2019-07-17,2023-06-06,"",POMORSKIE,GDYNIA,GDYNIA,96,1784,,,2016
BMW,X1,1995,OLEJ NAPĘDOWY,"",2009-11-27,2019-07-17,2023-06-09,"",POMORSKIE,KWIDZYN,KWIDZYŃSKI,130,1565,,,2009
VOLVO,V50,1560,OLEJ NAPĘDOWY,"",2006-10-10,2019-07-17,2023-06-22,"",POMORSKIE,BYTÓW,BYTOWSKI,80,1416,,,2006
TOYOTA,TOYOTA AURIS,1598,BENZYNA,"",2019-07-18,2019-07-18,2023-07-07,"",POMORSKIE,SŁUPSK,SŁUPSK,97,1282,162,,2018
KIA,SPORTAGE,1598,OLEJ NAPĘDOWY,"",2019-07-18,2019-07-18,2023-07-01,"",POMORSKIE,GDYNIA,GDYNIA,100,1530,129,,2018
VOLKSWAGEN,GOLF,1595,BENZYNA,"",1999-07-05,2019-07-19,2023-07-07,"",POMORSKIE,GDAŃSK,GDAŃSK,74,1192,,,1999
OPEL,ASTRA SPORTS TOURER,1598,OLEJ NAPĘDOWY,"",2014-11-25,2019-07-19,2023-06-19,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,100,1496,104,,2014
OPEL,GRANDLAND X,1199,BENZYNA,"",2019-07-22,2019-07-22,2023-06-23,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,96,1408,146,,2019
ALFA ROMEO,MITO,1248,OLEJ NAPĘDOWY,"",2010-10-15,2019-07-22,2023-07-03,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,70,1284,,,2010
SKODA,OCTAVIA,1498,BENZYNA,"",2019-07-22,2019-07-22,2023-06-19,"",POMORSKIE,CHOJNICE,CHOJNICKI,110,1274,,,2019
FORD,S-MAX,1997,OLEJ NAPĘDOWY,"",2010-06-23,2019-07-23,2023-06-12,"",POMORSKIE,MALBORK,MALBORSKI,103,1689,,,2010
VOLVO,V40,1969,OLEJ NAPĘDOWY,"",2014-12-31,2019-07-23,2023-06-29,"",POMORSKIE,STAROGARD GDAŃSKI,STAROGARDZKI,140,1578,,,2014
BMW,560,1995,OLEJ NAPĘDOWY,"",2008-02-25,2019-07-23,2023-06-20,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,120,1585,,,2008
KIA,CEED,1396,BENZYNA,"",2009-10-29,2019-07-24,2023-06-09,"",POMORSKIE,GDAŃSK,GDAŃSK,80,1317,,,2009
VOLKSWAGEN,GOLF,999,BENZYNA,"",2019-07-24,2019-07-24,2023-06-23,"",POMORSKIE,SOPOT,SOPOT,63,1206,118,,2019
SKODA,OCTAVIA,1968,OLEJ NAPĘDOWY,"",2019-07-25,2019-07-25,2023-06-22,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1378,122,,2019
AUDI,A4 1.9 TDI,1896,OLEJ NAPĘDOWY,"",1997-04-14,2019-07-25,2023-07-06,"",POMORSKIE,LĘBORK,LĘBORSKI,81,1315,,,1997
MINI,COOPER,1499,BENZYNA,"",2015-04-26,2019-07-26,2023-06-12,"",POMORSKIE,GDAŃSK,GDAŃSK,100,1085,,,2015
FORD,S-MAX,1997,OLEJ NAPĘDOWY,NIE DOTYCZY,2010-04-29,2019-07-26,2023-06-27,"",POMORSKIE,SŁUPSK,SŁUPSK,96,1743,,,2006
TOYOTA,RAV4,1987,BENZYNA,"",2019-07-27,2019-07-27,2023-07-05,"",POMORSKIE,GDYNIA,GDYNIA,129,1512,186,,2019
MERCEDES-BENZ,C 200,1598,OLEJ NAPĘDOWY,"",2015-07-27,2019-07-29,2023-06-15,"",POMORSKIE,TCZEW,TCZEWSKI,100,1485,,,2015
VOLKSWAGEN,GOLF,1598,OLEJ NAPĘDOWY,"",2010-01-04,2019-07-30,2023-06-09,"",POMORSKIE,GDYNIA,GDYNIA,77,1452,,,2010
HYUNDAI,IX35,1685,OLEJ NAPĘDOWY,"",2015-01-16,2019-07-31,2023-06-02,"",POMORSKIE,MALBORK,MALBORSKI,85,1490,,,2015
MERCEDES-BENZ,CLK 200,1796,BENZYNA,"",2005-12-28,2019-07-31,2023-06-27,"",POMORSKIE,KARTUZY,KARTUSKI,120,1690,,,2005
OPEL,ASTRA,1399,BENZYNA,"",2019-07-31,2019-07-31,2023-06-28,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1264,149,,2019
VOLVO,XC90,2401,OLEJ NAPĘDOWY,"",2006-03-29,2019-07-31,2023-06-05,"",POMORSKIE,GDYNIA,GDYNIA,120,2199,,,2004
VOLKSWAGEN,POLO,1390,BENZYNA,"",2004-03-16,2019-07-31,2023-06-09,"",POMORSKIE,GDAŃSK,GDAŃSK,55,1093,,,2004
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2008-12-01,2019-08-01,2023-06-12,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,125,1534,177,,2008
VOLKSWAGEN,GOLF,1984,BENZYNA,"",2009-05-19,2019-08-01,2023-07-05,"",POMORSKIE,GDYNIA,GDYNIA,155,1393,,,2009
SKODA,FABIA,999,BENZYNA,"",2019-08-05,2019-08-05,2023-06-01,"",POMORSKIE,LĘBORK,LĘBORSKI,70,1088,117,,2019
CHEVROLET,CAPTIVA,1991,OLEJ NAPĘDOWY,"",2008-08-29,2019-08-05,2023-06-28,"",POMORSKIE,MALBORK,MALBORSKI,93,1890,,,2008
AUDI,A4 LIMOUSINE,1984,BENZYNA,ENERGIA ELEKTRYCZNA,2019-08-05,2019-08-05,2023-06-15,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1525,142,,2019
VOLKSWAGEN,T-ROC,1498,BENZYNA,"",2019-08-06,2019-08-06,2023-07-03,"",POMORSKIE,KARTUZY,KARTUSKI,110,1295,134,,2019
RENAULT,CLIO,898,BENZYNA,"",2019-08-07,2019-08-07,2023-06-23,"",POMORSKIE,GDAŃSK,GDAŃSK,66,1145,130,,2019
VOLKSWAGEN,BEETLE,1781,BENZYNA,"",2014-01-01,2019-08-07,2023-06-12,"",POMORSKIE,KARTUZY,KARTUSKI,125,1432,,,2014
VOLKSWAGEN,MULTIVAN,1968,OLEJ NAPĘDOWY,"",2018-04-26,2019-08-07,2023-06-05,"",POMORSKIE,KARTUZY,KARTUSKI,150,2093,,,2018
OPEL,MERIVA-A,1364,BENZYNA,"",2006-10-31,2019-08-07,2023-06-12,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,66,1330,,,2006
FORD,MONDEO,1997,OLEJ NAPĘDOWY,"",2015-05-29,2019-08-07,2023-06-13,"",POMORSKIE,CZŁUCHÓW,CZŁUCHOWSKI,103,1597,,,2015
AUDI,A4,1896,OLEJ NAPĘDOWY,"",2003-10-01,2019-08-08,2023-06-05,"",POMORSKIE,KOŚCIERZYNA,KOŚCIERSKI,96,1480,,,2003
VOLKSWAGEN,ARTEON,1498,BENZYNA,"",2019-08-08,2019-08-08,2023-06-12,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1514,147,,2019
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",2005-12-08,2019-08-08,2023-07-04,"",POMORSKIE,SŁUPSK,SŁUPSK,77,1470,,,2005
BMW,330I,1998,BENZYNA,"",2019-08-09,2019-08-09,2023-06-23,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,190,1470,132,,2019
VOLKSWAGEN,TOURAN,1896,OLEJ NAPĘDOWY,"",2007-11-12,2019-08-09,2023-06-16,"",POMORSKIE,KARTUZY,KARTUSKI,77,1614,,,2007
PEUGEOT,206,1587,BENZYNA,"",2005-11-28,2019-08-09,2023-06-05,"",POMORSKIE,GDAŃSK,GDAŃSK,80,1130,,,2005
FORD,KUGA,1997,OLEJ NAPĘDOWY,"",2013-06-27,2019-08-12,2023-07-06,"",POMORSKIE,STAROGARD GDAŃSKI,STAROGARDZKI,120,1763,,,2013
FIAT,DUCATO,2287,OLEJ NAPĘDOWY,"",2019-08-12,2019-08-12,2023-06-05,"",POMORSKIE,GDAŃSK,GDAŃSK,130,2090,,,2019
BMW,X1,1499,BENZYNA,"",2018-07-18,2019-08-12,2023-06-26,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,103,1505,,,2018
LANCIA,DELTA,1368,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2009-04-28,2019-08-12,2023-06-12,"",POMORSKIE,GDYNIA,GDYNIA,88,1320,,,2009
MAZDA,3,1998,BENZYNA,"",2019-08-12,2019-08-12,2023-07-03,"",POMORSKIE,GDAŃSK,GDAŃSK,90,1275,117,,2019
AUDI,Q5,1968,OLEJ NAPĘDOWY,"",2019-08-12,2019-08-12,2023-06-21,"",POMORSKIE,GDYNIA,GDYNIA,140,1889,146,,2019
VOLKSWAGEN,GOLF,1598,OLEJ NAPĘDOWY,"",2016-03-07,2019-08-12,2023-07-06,"",POMORSKIE,GDAŃSK,GDAŃSK,81,1412,,,2016
SKODA,OCTAVIA,1968,OLEJ NAPĘDOWY,"",2019-08-13,2019-08-13,2023-06-27,"",POMORSKIE,TCZEW,TCZEWSKI,110,1414,129,,2019
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2019-08-13,2019-08-13,2023-07-05,"",POMORSKIE,GDAŃSK,GDAŃSK,110,1543,133,5,2019
MAZDA,CX-5,2488,BENZYNA,"",2019-08-14,2019-08-14,2023-06-01,"",POMORSKIE,SŁUPSK,SŁUPSK,143,1512,161,,2019
SKODA,KAROQ,1968,OLEJ NAPĘDOWY,"",2019-08-14,2019-08-14,2023-06-30,"",POMORSKIE,PUCK,PUCKI,110,1591,144,6,2019
MAZDA,2,1349,BENZYNA,"",2008-07-11,2019-08-14,2023-07-06,"",POMORSKIE,PRUSZCZ GDAŃSKI,GDAŃSKI,63,1030,,,2008
TOYOTA,COROLLA,1987,BENZYNA,ENERGIA ELEKTRYCZNA,2019-08-19,2019-08-19,2023-07-06,"",POMORSKIE,GDAŃSK,GDAŃSK,112,1521,127,,2019
HYUNDAI,COUPE,1975,BENZYNA,"",2005-11-21,2019-08-19,2023-06-27,"",POMORSKIE,GDAŃSK,GDAŃSK,105,1380,,,2005
TOYOTA,TOYOTA COROLLA,1987,BENZYNA,ENERGIA ELEKTRYCZNA,2019-08-20,2019-08-20,2023-07-05,"",POMORSKIE,GDAŃSK,GDAŃSK,112,1521,127,,2019
RENAULT,KADJAR,1332,BENZYNA,"",2019-08-20,2019-08-20,2023-06-16,"",POMORSKIE,STAROGARD GDAŃSKI,STAROGARDZKI,103,1383,145,,2019
TOYOTA,RAV4,1998,BENZYNA,"",1995-03-29,2019-08-21,2023-06-14,"",POMORSKIE,KARTUZY,KARTUSKI,95,1150,,,1995
PORSCHE,BOXSTER,2480,BENZYNA,"",1999-01-01,2019-08-21,2023-07-05,"",POMORSKIE,GDAŃSK,GDAŃSK,150,1252,,,1999
PEUGEOT,207,1360,BENZYNA,"",2009-04-23,2019-08-22,2023-06-17,"",POMORSKIE,GDAŃSK,GDAŃSK,54,1205,,,2009
FIAT,PANDA,1242,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-08-23,2019-08-23,2023-07-04,"",POMORSKIE,WEJHEROWO,WEJHEROWSKI,51,980,119,,2019
AUDI,A3,1595,BENZYNA,"",2002-12-05,2019-08-26,2023-06-14,"",POMORSKIE,SŁUPSK,SŁUPSK,75,1165,,,2002
CITROEN,C5,1997,OLEJ NAPĘDOWY,"",2009-03-31,2019-08-26,2023-06-09,"",POMORSKIE,GDAŃSK,GDAŃSK,100,1733,,,2009
